tmdb_id,tipo,título,público,score,votos,fecha,géneros,sinopsis,popularidad,idioma_original,imagen_url
70785,serie,Anne with an E,TV-G,8.651,4898,2017-03-19,"['Drama', 'Familia']","Anne Shirley es una niña huérfana que vive en un pequeño pueblo llamado Avonlea que pertenece a la Isla del Príncipe Eduardo, en el año 1890. Después de una infancia difícil, donde fue pasando de orfanato a hogares de acogida, es enviada por error a vivir con una solterona y su hermano. Cuando cumple 13 años, Anne va a conseguir transformar su vida y el pequeño pueblo donde vive gracias a su fuerte personalidad, intelecto e imaginación. Basada en la inolvidable novela.",34.6737,en,https://image.tmdb.org/t/p/w500/6P6tXhjT5tK3qOXzxF9OMLlG7iz.jpg
72637,serie,O11CE,AA,8.628,1519,2017-06-19,"['Comedia', 'Familia', 'Soap']","Gabo, es un adolescente que vive en un pueblo llamado Álamo Seco. Gabo adora el fútbol y se le presenta la oportunidad de su vida al obtener una beca de estudios en el Instituto Académico Deportivo (IAD) de Buenos Aires para jugar en Los Halcones Dorados. Este club se convierte en el hogar donde nacen las nuevas estrellas del fútbol internacional.",45.2824,es,https://image.tmdb.org/t/p/w500/8F7Lpm8lWnhhG7tcq06jkGAdLZX.jpg
68595,serie,Planeta Tierra 2,TV-G,8.626,903,2016-11-06,"['Documental', 'Familia']","La segunda parte del mítico documental ""Planeta Tierra"", nos sumerge en increíbles paisajes y nos permite experimentar el mundo a través de la perspectiva de los animales. Viajando a través de junglas, desiertos, montañas, islas, dehesas y ciudades, esta serie documental explora las características de los habitantes más icónicos de la tierra y sus extraordinarios modos de supervivencia. La nueva tecnología nos acerca a detalles sin precedentes en la vida de los animales.",10.6036,en,https://image.tmdb.org/t/p/w500/mruCboXhVXmGX7NUbD7SIfHwplG.jpg
1438,serie,Los Vigilantes,TV-MA,8.622,2602,2002-06-02,"['Crimen', 'Drama']","En los barrios bajos de Baltimore, se investiga un asesinato relacionado con el mundo de las drogas. Un policía es el encargado de detener a los miembros de un importante cártel. La corrupción policial, las frágiles lealtades dentro de los cárteles y la miseria vinculada al narcotráfico son algunos de los problemas denunciados en esta serie. Parece inspirarse en series modernas como ""Los Soprano"" y en clásicos como ""Policías de Nueva York (NYPD Blue)"". El creador de la serie fue, durante años, reportero de la crónica negra de Baltimore, y uno de los coguionistas fue policía en la misma ciudad.",155.6824,en,https://image.tmdb.org/t/p/w500/v5m7os416ER2a9dTE0M017KqRmZ.jpg
95557,serie,INVENCIBLE,TV-MA,8.62,5407,2021-03-25,"['Animación', 'Drama', 'Sci-Fi & Fantasy', 'Action & Adventure']","Mark Grayson hereda superpoderes a los diecisiete años y se une a su padre como uno de los mayores héroes de la Tierra. Todos sus sueños se hacen realidad, hasta que un evento impactante lo cambia todo.",204.252,en,https://image.tmdb.org/t/p/w500/AdcfiT5FsjUooyP7CrKzEGmP9K1.jpg
1044,serie,Planeta Tierra,TV-PG,8.612,1214,2006-03-05,['Documental'],"Aclamada serie de documentales creada por la BBC que nos muestra, en 11 episodios escritos por el prestigioso naturalista David Attenborough, la belleza de nuestro enorme planeta con imágenes nunca antes vistas.",12.5851,en,https://image.tmdb.org/t/p/w500/mc0E8Wj9Jj8RsdL3sQuqnLhmFDL.jpg
31356,serie,Big Time Rush,TV-G,8.6,1671,2009-11-28,"['Comedia', 'Kids']","Cuatro jugadores de hockey de Minnesota aspiran a convertirse en una banda de chicos. Kendall, Logan, Carlos y James se embarcan en un viaje que les cambia la vida y se enfrentan a desafíos en el camino.",13.3263,en,https://image.tmdb.org/t/p/w500/34y5JjZYj2paoxA0RXEppU5LRpb.jpg
79141,serie,Scissor Seven,TV-PG,8.6,759,2018-04-25,"['Animación', 'Comedia', 'Action & Adventure', 'Sci-Fi & Fantasy']",Este aprendiz de sicario empuña de noche sus tijeras de peluquero para ganar dinero y recordar su pasado mientras lidia con unos compañeros poco amistosos.,29.2803,zh,https://image.tmdb.org/t/p/w500/jz9ii5sft8l6zP3lzu51xNWmgiO.jpg
31132,serie,Un show más,TV-PG,8.6,2194,2010-09-06,"['Animación', 'Comedia', 'Action & Adventure', 'Sci-Fi & Fantasy']","Mordecai (un arrendajo azul) y Rigby (un mapache) son encargados de mantenimiento en un parque, y buscan cualquier excusa para no trabajar. En su día a día viven múltiples aventuras, muchas de ellas de carácter surrealista, en las que también interactúan el resto de personajes.",126.1502,en,https://image.tmdb.org/t/p/w500/6xea7V4d2xayrlBKOtMZ4wlV6wZ.jpg
89456,serie,Primal,TV-14,8.6,1533,2019-10-08,"['Action & Adventure', 'Animación', 'Drama']","Primal se centra alrededor de un hombre de las cavernas en los albores de la evolución y un dinosaurio en peligro de extinción. Unidos por la tragedia, la pareja entabla una amistad improbable, que se convierte en su única esperanza de supervivencia en un mundo violento y prehistórico.",32.5237,en,https://image.tmdb.org/t/p/w500/evxTYlsABHvKkLBtwYqlW3HYnHw.jpg
